n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13
	et	et	et	et	- et	et	et	- et	- et	- et	et	et
	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle	quelle
	impitoyable	impitoyable	impitoyable	impitoyable	impitoyable	impitoyable	impitoyable	impitoyable	impitoyable	impitoyable	impitoyable	impitoyable
	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour
	celui	celui	celui	celui	celui	celui	celui	celui	celui	celui	celui	celui
	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
	s'avise	s'avise	s'avise	s'avise	s'avise	s'avise	s'avise	s'avise	s'avise	s'avise	s'avise	s'avise
	que	que	que	que	que	que	que	que	que	que	que	que
	le	l'être	l'être	l'être	l'être	le	l'être	l'être	l'être	l'être	l'être	l'être
	lézard	humain	humain	humain	humain	lézard	humain	humain	humain	humain	humain	humain
	doit	doit	doit	doit	doit	doit	doit	doit	doit	doit	doit	doit
	mettre	mettre	mettre	mettre	mettre	mettre	mettre	mettre	mettre	mettre	mettre	mettre
	des	des	des	des	des	des	des	des	des	des	des	des
	millions	millions	millions	millions	millions	millions	millions	millions	millions	millions	millions	millions
	d'années	d'années	d'années	d'années	d'années	d'années	d'années	d'années	d'années	d'années	d'années	d'années
	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour
	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir
	un	un	un	un	un	un	un	un	un	un	un	un
	être	lézard!	lézard!	lézard.	lézard.	être	lézard!	lézard!	lézard!	lézard!	lézard!	lézard!
	humain!					humain!						
